ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000160298"	"C21orf58"	chr21	-	46314715	46315049	46314715	46314880	46315473	46315547	1	108,85,119	30,4,37	79,45,7,35,18,19,10,80,11	21,13,2,14,0,12,24,46,0	319	150	0.18303630569	0.705454407037	0.629,0.909,0.602	0.639,0.619,0.622,0.54,1.0,0.427,0.164,0.45,1.0	0.107
2	"ENSG00000160298"	"C21orf58"	chr21	-	46317207	46317348	46317207	46317268	46318011	46318220	2	40,11,20	37,15,61	14,18,4,19,8,19,15,69,0	26,16,21,12,9,13,21,79,10	230	150	0.756325667723	1.0	0.414,0.324,0.176	0.26,0.423,0.11,0.508,0.367,0.488,0.318,0.363,0.0	-0.011
3	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46251528	46251682	3	612,173,260	0,18,0	362,327,147,235,408,246,319,111,10	0,2,0,0,0,0,0,0,0	632	150	3.75764459513e-05	0.000707779018936	1.0,0.695,1.0	1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0	-0.099
4	"ENSG00000215424"	"MCM3AP-AS1"	chr21	+	46240833	46242999	46240836	46242999	46236223	46236326	4	10,20,0	0,0,0	8,17,0,2,11,4,16,4,0	1,6,0,0,0,0,0,0,0	153	150	1	1.0	1.0,1.0,NA	0.887,0.735,NA,1.0,1.0,1.0,1.0,1.0,NA	0.054
5	"ENSG00000142173"	"COL6A2"	chr21	+	46125416	46125617	46125464	46125617	46125265	46125311	5	0,4,0	14,82,0	0,0,0,0,0,8,0,0,0	0,26,7,20,12,282,1,27,0	198	150	1	1.0	0.0,0.036,NA	NA,0.0,0.0,0.0,0.0,0.021,0.0,0.0,NA	0.015
6	"ENSG00000142173"	"COL6A2"	chr21	+	46128902	46129808	46129195	46129808	46126502	46126541	6	5,0,0	14,13,0	0,10,0,0,0,7,0,0,0	0,12,0,0,0,38,0,0,0	443	150	1	1.0	0.108,0.0,NA	NA,0.22,NA,NA,NA,0.059,NA,NA,NA	-0.086
7	"ENSG00000182871"	"COL18A1"	chr21	+	45505834	45505966	45505837	45505966	45505357	45505431	7	29,7,18	82,35,3	0,0,0,0,4,2,14,8,0	0,4,0,15,4,30,36,45,10	153	150	1	1.0	0.257,0.164,0.855	NA,0.0,NA,0.0,0.495,0.061,0.276,0.148,0.0	0.285
8	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019	8	69,216,116	0,0,0	85,43,54,27,132,75,194,24,10	6,0,5,0,1,0,2,0,7	2228	150	7.25211599539e-06	0.000183202263598	1.0,1.0,1.0	0.488,1.0,0.421,1.0,0.899,1.0,0.867,1.0,0.088	0.249
9	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910599	44910785	9	16,31,0	8,0,0	55,2,56,18,129,7,0,8,22	12,2,1,7,84,2,0,3,0	193	150	1	1.0	0.609,1.0,NA	0.781,0.437,0.978,0.667,0.544,0.731,NA,0.675,1.0	0.078
10	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44910283	44910372	44910724	44910785	10	16,33,0	350,214,98	65,2,60,18,128,7,0,8,25	675,70,616,291,1694,73,2,186,164	193	150	0.382557959842	1.0	0.034,0.107,0.0	0.07,0.022,0.07,0.046,0.055,0.069,0.0,0.032,0.106	-0.005
